Identifiant;Nom;Statut;Nombre de places disponibles;Nombre de places pour usagers horaires;Nombres de places minimum pour affichage 'COMPLET';Horodatage;Identifiant de l'équipement public;Géolocalisation;Disponibilité
136;P+R Haluchère 1;5;51;118;0;2025-01-31T16:58:40+00:00;4101;47.24845033700001, -1.522831171000007;51.0
137;P+R Haluchère 2;5;95;155;0;2025-01-31T16:58:40+00:00;4764;47.250230052000006, -1.5249751929999888;95.0
152;P+R Prairie de Mauve;5;199;199;0;2025-01-31T16:58:40+00:00;4914;47.220255838000014, -1.5158513530000164;199.0
138;P+R Le Cardo;5;140;206;0;2025-01-31T16:58:40+00:00;3189;47.262502085999984, -1.584511976999977;140.0
139;P+R Recteur Schmitt;5;62;90;0;2025-01-31T16:58:40+00:00;1341;47.251735247, -1.5529031010000267;62.0
145;P+R Porte de Vertou 2;5;654;749;0;2025-01-31T16:58:40+00:00;5532;47.180079913999975, -1.5047335759999783;654.0
149;P+R Marcel Paul;5;76;160;0;2025-01-31T16:58:40+00:00;3776;47.24590456300001, -1.618008347;76.0
140;P+R Huit Mai;5;117;200;0;2025-01-31T16:58:40+00:00;3194;47.19003374599998, -1.5514394489999859;117.0
143;P+R Orvault-Morlière;5;277;283;0;2025-01-31T16:58:40+00:00;3584;47.246776641, -1.6030494629999907;277.0
151;P+R Duguay-Trouin;5;170;180;0;2025-01-31T16:58:40+00:00;6036;47.22395558599999, -1.618105187000026;170.0
153;P+R Neustrie 2;0;0;0;0;2025-01-31T16:58:40+00:00;3562;47.17545322799998, -1.5930964770000173;-1.0
135;P+R François Mitterrand;5;179;207;0;2025-01-31T16:58:40+00:00;3190;47.22170619399998, -1.6394841410000254;179.0
142;P+R Neustrie 1;5;691;760;0;2025-01-31T16:58:40+00:00;3558;47.17707849999999, -1.5924185470000225;691.0
144;P+R Gréneraie;5;95;213;0;2025-01-31T16:58:40+00:00;3628;47.20013903400002, -1.533333620999997;95.0
147;P+R Bourdonnières 1;5;145;234;0;2025-01-31T16:58:40+00:00;3629;47.185974206000026, -1.5213374749999957;145.0
154;P+R Neustrie 3;5;9;20;0;2025-01-31T16:58:40+00:00;4310;47.176580193999996, -1.593789137999977;9.0
155;P+R Porte de Vertou 1;5;109;215;0;2025-01-31T16:58:40+00:00;5531;47.180393442000025, -1.5058091440000112;109.0
141;P+R La Beaujoire;5;291;350;0;2025-01-31T16:58:40+00:00;3192;47.25949516899999, -1.526680951000003;291.0
150;P+R Ranzay;0;0;0;0;2025-01-31T16:58:40+00:00;4100;47.254363266999974, -1.5331366510000066;-1.0
