Type de service;Nom du service;Type de tarif;Libellé tarif;Montant
Vélo en libre service;bicloo Plus;Coût d'usage de la formule sur mesure;au dessus de 90 min par demi-heure supplémentaire;2
stationnement vélo abrité;bicloo Park en ouvrage;accès contrôlé vélo à assistance électrique;mensuel;10
location de vélo moyenne et longue durée;Mon bicloo pliant mécanique;Annuel;Plein tarif;180
location de vélo moyenne et longue durée;Mon bicloo cargo à assistance électrique;Mensuel;Plein tarif;90
location de vélo moyenne et longue durée;Mon bicloo classique mécanique;Annuel;Plein tarif;120
location de vélo moyenne et longue durée;Mon bicloo classique à assistance électrique;Annuel;Tarif Réduit pack mobilité;192
stationnement vélo abrité;bicloo Park espace public;accès libre;;0
location de vélo moyenne et longue durée;Mon bicloo cargo mécanique;Tarif solidaire Mensuel;QF entre 751 et 900;42
location de vélo moyenne et longue durée;Mon bicloo classique à assistance électrique;Tarif solidaire Mensuel;QF inférieur ou égal à 350;2.5
stationnement vélo abrité;bicloo Park espace public;"accès contrôlé
Abonnement";annuel;0
stationnement vélo abrité;bicloo Park en ouvrage;accès contrôlé vélo à assistance électrique pro;annuel;150
stationnement vélo abrité;bicloo Park en ouvrage;accès contrôlé vélo classique;mensuel monoparc;8€ + 2€ avec option vae
location de vélo moyenne et longue durée;Mon bicloo classique à assistance électrique;Annuel;Plein tarif;300
stationnement vélo abrité;bicloo Park en ouvrage;accès contrôlé vélo à assistance électrique;Tarif Réduit 2ème abonnement;15
Vélo en libre service;bicloo Plus;Coût d'usage de la formule illimités (1an ou 1 mois) et des tickets 1 et 3 jour(s);usage de 0 à 30 min;0
Vélo en libre service;bicloo Plus;Coût d'usage de la formule illimités (1an ou 1 mois) et des tickets 1 et 3 jour(s);usage de 30 à 60mn;0.5
stationnement vélo abrité;bicloo Park en ouvrage;accès libre;;0
location de vélo moyenne et longue durée;Mon bicloo classique à assistance électrique;Tarif solidaire Mensuel;QF entre 501 et 750;12.5
location de vélo moyenne et longue durée;Mon bicloo équilibre mécanique;Tarif solidaire Mensuel;QF entre 501 et 750;5
location de vélo moyenne et longue durée;Mon bicloo classique mécanique;Tarif solidaire Mensuel;QF entre 351 et 500;3
location de vélo moyenne et longue durée;Mon bicloo pliant;Tarif solidaire Mensuel;QF entre 351 et 500;4.5
location de vélo moyenne et longue durée;Mon bicloo cargo électrique;Tarif solidaire Mensuel;QF inférieur ou égal à 350;9
stationnement vélo abrité;bicloo Park en ouvrage;accès contrôlé vélo classique;annuel;30
stationnement vélo abrité;bicloo Park en ouvrage;accès contrôlé vélo classique;journalier mono.;0.8
location de vélo moyenne et longue durée;Mon bicloo classique à assistance électrique;Mensuel;Plein tarif;25
location de vélo moyenne et longue durée;Mon bicloo équilibre à assistance électrique;Mensuel;Plein tarif;20
location de vélo moyenne et longue durée;Mon bicloo équilibre mécanique;Annuel;Plein tarif;120
location de vélo moyenne et longue durée;Mon bicloo cargo mécanique;Mensuel;Plein tarif;60
location de vélo moyenne et longue durée;Mon bicloo cargo à assistance électrique;Annuel;Tarif Réduit pack mobilité;864
location de vélo moyenne et longue durée;Mon bicloo pliant mécanique;Annuel;Tarif Réduit pack mobilité;144
stationnement vélo abrité;bicloo Park en ouvrage;accès contrôlé vélo classique;Tarif Réduit 3ème abonnement;10
location de vélo moyenne et longue durée;Mon bicloo pliant;Tarif solidaire Mensuel;QF entre 751 et 900;10.5
location de vélo moyenne et longue durée;Mon bicloo cargo mécanique;Tarif solidaire Mensuel;QF entre 501 et 750;30
location de vélo moyenne et longue durée;Mon bicloo équilibre mécanique;Tarif solidaire Mensuel;QF inférieur ou égal à 350;1
Vélo en libre service;bicloo Plus;Coût d'accès du Ticket;1 jour;2
stationnement vélo abrité;bicloo Park en ouvrage;accès contrôlé vélo classique;journalier multiple (5 personnes max.);2
location de vélo moyenne et longue durée;Mon bicloo cargo mécanique;Annuel;Plein tarif;720
location de vélo moyenne et longue durée;Mon bicloo cargo mécanique;Annuel;Tarif Réduit pack mobilité;576
stationnement vélo abrité;bicloo Park en ouvrage;accès contrôlé vélo classique;Tarif Réduit 2ème abonnement;15
Vélo en libre service;bicloo Plus;Coût d'usage de la formule sur mesure;usage de 0 à 30 min;0.75
location de vélo moyenne et longue durée;Mon bicloo équilibre à assistance électrique;Tarif solidaire Mensuel;QF entre 751 et 900;14
location de vélo moyenne et longue durée;Mon bicloo cargo mécanique;Tarif solidaire Mensuel;QF entre 351 et 500;18
location de vélo moyenne et longue durée;Mon bicloo pliant;Tarif solidaire Mensuel;QF inférieur ou égal à 350;1.5
location de vélo moyenne et longue durée;Mon bicloo classique mécanique;Annuel;Tarif Réduit;96
stationnement vélo abrité;bicloo Park en ouvrage;accès contrôlé vélo à assistance électrique;journalier;1
location de vélo moyenne et longue durée;Mon bicloo pliant mécanique;Mensuel;Plein tarif;15
Vélo en libre service;bicloo Plus;Coût d'usage de la formule sur mesure;usage de 30 à 60mn;1.25
location de vélo moyenne et longue durée;Mon bicloo classique mécanique;Tarif solidaire Mensuel;QF entre 751 et 900;7
location de vélo moyenne et longue durée;Mon bicloo classique mécanique;Tarif solidaire Mensuel;QF entre 501 et 750;5
location de vélo moyenne et longue durée;Mon bicloo équilibre à assistance électrique;Tarif solidaire Mensuel;QF entre 501 et 750;10
location de vélo moyenne et longue durée;Mon bicloo équilibre mécanique;Tarif solidaire Mensuel;QF entre 351 et 500;3
location de vélo moyenne et longue durée;Mon bicloo classique mécanique;Tarif solidaire Mensuel;QF inférieur ou égal à 350;1
location de vélo moyenne et longue durée;Mon bicloo cargo mécanique;Tarif solidaire Mensuel;QF inférieur ou égal à 350;6
stationnement vélo abrité;bicloo Park en ouvrage;accès contrôlé vélo à assistance électrique;annuel;40
Vélo en libre service;bicloo Plus;Coût d'accès de la formule illimitée;annuel tarif plein;36
location de vélo moyenne et longue durée;Mon bicloo classique mécanique;Mensuel;Plein tarif;10
location de vélo moyenne et longue durée;Mon bicloo équilibre à assistance électrique;Annuel;Plein tarif;240
stationnement vélo abrité;bicloo Park en ouvrage;accès contrôlé vélo à assistance électrique;Tarif Réduit 3ème abonnement;10
Vélo en libre service;bicloo Plus;Coût d'usage de la formule sur mesure;usage de 60 à 90 min;2.25
location de vélo moyenne et longue durée;Mon bicloo classique à assistance électrique;Tarif solidaire Mensuel;QF entre 751 et 900;17.5
location de vélo moyenne et longue durée;Mon bicloo équilibre mécanique;Tarif solidaire Mensuel;QF entre 751 et 900;7
location de vélo moyenne et longue durée;Mon bicloo cargo électrique;Tarif solidaire Mensuel;QF entre 751 et 900;63
location de vélo moyenne et longue durée;Mon bicloo classique à assistance électrique;Tarif solidaire Mensuel;QF entre 351 et 500;7.5
location de vélo moyenne et longue durée;Mon bicloo équilibre à assistance électrique;Tarif solidaire Mensuel;QF entre 351 et 500;6
Vélo en libre service;bicloo Plus;Coût d'accès du Ticket;3 jours;5
Vélo en libre service;bicloo Plus;Coût d'accès de la formule sur mesure;annuel;0
Vélo en libre service;bicloo Plus;Coût d'usage de la formule illimités (1an ou 1 mois) et des tickets 1 et 3 jour(s);au dessus de 90 min par demi-heure supplémentaire;2
location de vélo moyenne et longue durée;Mon bicloo équilibre à assistance électrique;Annuel;Tarif Réduit pack mobilité;192
location de vélo moyenne et longue durée;Mon bicloo équilibre mécanique;Annuel;Tarif Réduit pack mobilité;96
Vélo en libre service;bicloo Plus;Coût d'usage de la formule illimités (1an ou 1 mois) et des tickets 1 et 3 jour(s);usage de 60 à 90 min;1.5
location de vélo moyenne et longue durée;Mon bicloo pliant;Tarif solidaire Mensuel;QF entre 501 et 750;7.5
location de vélo moyenne et longue durée;Mon bicloo cargo électrique;Tarif solidaire Mensuel;QF entre 501 et 750;45
location de vélo moyenne et longue durée;Mon bicloo cargo électrique;Tarif solidaire Mensuel;QF entre 351 et 500;27
location de vélo moyenne et longue durée;Mon bicloo équilibre à assistance électrique;Tarif solidaire Mensuel;QF inférieur ou égal à 350;2
Vélo en libre service;bicloo Plus;Coût d'accès de la formule illimitée;annuel tarif réduit (Marguerite, annuel Tan, Pack Mobilité);30
location de vélo moyenne et longue durée;Mon bicloo équilibre mécanique;Mensuel;Plein tarif;10
location de vélo moyenne et longue durée;Mon bicloo cargo à assistance électrique;Annuel;Plein tarif;1080
Vélo en libre service;bicloo Plus;Coût d'accès du Ticket;mensuel;10
